Visitor ID,Visitor: Last Visit,Number of Days Active,Number of Events,Visitor: Most recent browser name
anonymous-1760108638439,2025-10-10 11:04:10,1,15,Chrome
anonymous-1760108513381,2025-10-10 11:01:53,1,3,Chrome
anonymous-1760108227654,2025-10-10 10:57:08,1,3,Chrome
anonymous-1760107420562,2025-10-10 10:43:40,1,2,Chrome
anonymous-1760106596796,2025-10-10 10:29:57,1,2,Chrome
anonymous-1760105590053,2025-10-10 10:13:10,1,2,Chrome
anonymous-1760105529504,2025-10-10 10:12:09,1,2,Chrome
anonymous-1760105450165,2025-10-10 10:10:50,1,2,Chrome
anonymous-1760105419442,2025-10-10 10:10:19,1,15,Chrome
anonymous-1760078338700,2025-10-10 02:38:58,1,2,Safari
anonymous-1759997507870,2025-10-09 22:11:13,1,3,Webkit
anonymous-1759995515660,2025-10-09 22:11:09,1,3,Webkit
31,2025-10-09 22:07:34,3,771,Chrome
anonymous-1760060826868,2025-10-09 21:58:58,1,14,Chrome
anonymous-1760060438774,2025-10-09 21:40:39,1,3,Chrome
anonymous-1760058773872,2025-10-09 21:12:53,1,4,Chrome
anonymous-1760058434060,2025-10-09 21:07:14,1,12,Chrome
anonymous-1760058430334,2025-10-09 21:07:10,1,3,Chrome
anonymous-1760057386265,2025-10-09 20:49:46,1,2,Chrome
anonymous-1760056961424,2025-10-09 20:42:41,1,2,Chrome
anonymous-1760056612898,2025-10-09 20:36:53,1,2,Chrome
anonymous-1760056364947,2025-10-09 20:32:45,1,2,Chrome
anonymous-1760056063224,2025-10-09 20:28:24,1,13,Chrome
anonymous-1760055725219,2025-10-09 20:23:08,1,13,Chrome
anonymous-1760055559544,2025-10-09 20:19:19,1,2,Chrome
anonymous-1760055442239,2025-10-09 20:17:22,1,2,Chrome
anonymous-1760055256273,2025-10-09 20:14:16,1,2,Chrome
anonymous-1760055139229,2025-10-09 20:13:25,1,15,Chrome
anonymous-1760055139163,2025-10-09 20:12:19,1,3,Chrome
anonymous-1760054876082,2025-10-09 20:08:09,1,12,Chrome
